title,published,source,summary,link,country
Canadian man who stole 'belligerent' Churchill portrait sentenced to jail,"Tue, 27 May 2025 12:29:54 +0000",Just In,"A Canadian man who stole an iconic portrait of a scowling Winston Churchill has been sentenced to two years in jail, according to local media.",https://www.abc.net.au/news/2025-05-27/thief-behind-iconic-churchill-portrait-theft-sentenced-to-jail/105345104,Australia
Huge explosion rocks chemical plant in China,"Tue, 27 May 2025 11:37:08 +0000",Just In,"The blast knocked out windows of a storage facility more than three kilometres from the site, with more than 200 fire fighters and officials sent to the scene.",https://www.abc.net.au/news/2025-05-27/chemical-plant-explosion-rocks-shandong-province-in-china/105345226,Australia
Fremantle skipper Alex Pearce's three-match ban overturned at AFL tribunal,"Tue, 27 May 2025 11:13:58 +0000",Just In,Fremantle successfully appealed the suspension for rough conduct during Saturday's match against Port Adelaide.,https://www.abc.net.au/news/2025-05-27/freo-captain-alex-pearce-has-three-match-ban-overturned/105343858,Australia
"NSW MP Gareth Ward used groin to massage 18-year-old man, trial hears","Tue, 27 May 2025 09:25:36 +0000",Just In,"A court has heard details of two sexual assaults allegedly perpetrated by former NSW cabinet minister Gareth Ward, during the opening remarks of his sexual assault trial.",https://www.abc.net.au/news/2025-05-27/gareth-ward-trial-details-alleged-assaults-heard/105343304,Australia
Pilot involved in fatal Ball Bay crash arrested after walking out of court,"Tue, 27 May 2025 09:19:17 +0000",Just In,A north Queensland pilot involved in a fatal joy-ride near Mackay in 2021 was arrested and brought back into court after walking out of his committal hearing without bail.,https://www.abc.net.au/news/2025-05-27/ball-bay-crash-pilot-arrested-after-walking-out-of-court/105344884,Australia
"NT judge fines group of illegal foreign fishers more than $80,000","Tue, 27 May 2025 08:50:42 +0000",Just In,"A Northern Territory judge said he needed to ""send a message"" to illegal fishers, while fining 18 Indonesian nationals more than $80,000 for fishing in Australian waters.",https://www.abc.net.au/news/2025-05-27/nt-judge-hands-down-80k-fines-to-illegal-fishers-in-court/105344528,Australia
"Sherpa scales Mount Everest for 31st time, beating non-Sherpa record by 12 climbs","Tue, 27 May 2025 08:50:21 +0000",Just In,"Kami Rita, 55, first climbed Everest in 1994 and has done so almost every year since.",https://www.abc.net.au/news/2025-05-27/sherpa-scales-mount-everest-for-31st-time/105344732,Australia
Australian Holocaust survivor Yvonne Engelman dies aged 98,"Tue, 27 May 2025 08:27:31 +0000",Just In,"Remembering the life of Yvonne Engelman, who survived the horrors of the Nazi concentration camp Auschwitz.",https://www.abc.net.au/news/2025-05-27/yvonne-engelman-dies-aged-98/105343100,Australia
"Hospitals not always following sepsis protocol after toddler's death, inquest told","Tue, 27 May 2025 08:24:04 +0000",Just In,"An inquest into the death of Pippa Mae White, who died of sepsis and pneumonia, hears from a health executive who claims hospitals are still not regularly using a sepsis diagnostic guide.",https://www.abc.net.au/news/2025-05-27/changes-after-sepsis-and-pneumonia-death-of-toddler/105341238,Australia
Court bid to stop 'Extinction Rebellion on wheels' blocking bridge,"Tue, 27 May 2025 08:16:57 +0000",Just In,"Police will appear at the Brisbane Magistrates Court on Thursday to argue that the march, which would block all six traffic lanes, should not go ahead.",https://www.abc.net.au/news/2025-05-27/police-challenge-protesters-over-story-bridge-blockade/105343068,Australia
Rock art expert accuses WA government of rock art 'propaganda',"Tue, 27 May 2025 08:16:34 +0000",Just In,"One of the world's leading rock art specialists accuses the WA government of burying evidence that shows current pollution levels in the state's north has left ancient petroglyphs resembling ""Swiss cheese"".",https://www.abc.net.au/news/2025-05-27/murujuga-rock-art-benjamin-smith-government-cover-up/105342280,Australia
Handmaid's Tale finale: Does June Osborne's death stare finally deliver on promise to Gilead?,"Tue, 27 May 2025 08:08:39 +0000",Just In,"Beleaguered fans have watched June suffer through six seasons over eight years in a bid to free herself and save her daughter. Now the season finale offers them hope of some relief — but does it deliver?
(Warning: spoilers ahead.)",https://www.abc.net.au/news/2025-05-27/handmaids-tale-finale-key-moments/105327180,Australia
"After changing its website, Telstra’s now digging in on mobile coverage","Tue, 27 May 2025 07:54:10 +0000",Just In,Telstra CEO Vicki Brady defends claim the telco provides 3 million square kilometres of coverage without using an external antenna.,https://www.abc.net.au/news/2025-05-27/telstra-mobile-coverage-defends-claim/105343140,Australia
Energy giant gets green light for controversial coal exploration in NSW,"Tue, 27 May 2025 07:42:04 +0000",Just In,"Although it has exhausted all legal appeals to overturn rejections of its coal mine plans, South Korean company KEPCO will be allowed to explore for coal in Bylong until 2027.",https://www.abc.net.au/news/2025-05-27/bylong-valley-kepco-coal-licences-extended-nsw-government/105342520,Australia
Norwegian princess moving to Australia for university,"Tue, 27 May 2025 07:19:57 +0000",Just In,Norwegian Princess Ingrid Alexandra will be moving to New South Wales for a Bachelor of Arts degree at the University of Sydney.,https://www.abc.net.au/news/2025-05-27/norway-princess-ingrid-alexandra-studying-at-university-/105343606,Australia
Australian-first ice hockey rink takes over AIS basketball court,"Tue, 27 May 2025 07:08:47 +0000",Just In,The Australian Institute of Sport transforms a basketball court into an ice rink for the Canberra Brave. The rink is the first in the league to have full bowl seating.,https://www.abc.net.au/news/2025-05-27/canberra-brave-moves-to-new-ice-rink-at-ais-arena/105342308,Australia
'Small business fetishism' pushing up home building costs,"Tue, 27 May 2025 07:00:53 +0000",Just In,What if there was a way to build 12 per cent more homes a year with no extra construction workers? Economists say there might be.,https://www.abc.net.au/news/2025-05-27/construction-small-businesses-cut-productivity-raise-costs/105342166,Australia
NSW chief justice takes rare step to shed light on soaring remand numbers,"Tue, 27 May 2025 07:00:20 +0000",Just In,"In a rare public statement, Chief Justice Andrew Bell says the denial of bail leaves innocent people at risk of being kept behind bars for ""a considerable period of time"".",https://www.abc.net.au/news/2025-05-27/nsw-chief-justice-andrew-bell-alarmed-at-remand-numbers/105343564,Australia
Sidelined wheelchair basketballers fight to reclaim Paralympics entry,"Tue, 27 May 2025 06:52:46 +0000",Just In,"After missing out on qualification for the Paris Paralympics, women's wheelchair basketball has strengthened its domestic competition ahead of Brisbane 2032.",https://www.abc.net.au/news/2025-05-27/shelley-matheson-wnwbl-launch-season-2025/105341070,Australia
Man dies in custody after altercation with Alice Springs security guard,"Tue, 27 May 2025 06:47:46 +0000",Just In,Police say the death of an Aboriginal man who was restrained by two officers in Alice Springs will be investigated as a death in custody.,https://www.abc.net.au/news/2025-05-27/nt-alice-springs-coles-supermarket-death-in-custody/105344116,Australia
China now 'more debt collector than banker' to developing world,"Tue, 27 May 2025 06:43:36 +0000",Just In,"New research shows that China has emerged as the world's largest debtor for developing nations, which are due to pay back at least $54 billion to Beijing this year.",https://www.abc.net.au/news/2025-05-27/lowy-report-chinese-debt-repayments-developing-pacific/105343880,Australia
NSW premier rues loss of 'golden opportunity' after no vote to Rosehill sale,"Tue, 27 May 2025 06:33:07 +0000",Just In,"On Tuesday, about 11,000 members voted on the fate of the racecourse, bringing a 17-month-long saga to end. The no vote was carried by 56.1 per cent of the ballots.",https://www.abc.net.au/news/2025-05-27/nsw-rosehill-racecourse-sale-vote-no/105343264,Australia
US company linked to Trump administration in talks over Darwin Port,"Tue, 27 May 2025 06:27:30 +0000",Just In,"An American investment firm linked to US President Donald Trump's administration has shown interest in the Port of Darwin, which is currently leased by a Chinese-owned company.",https://www.abc.net.au/news/2025-05-27/us-company-linked-to-trump-in-darwin-port-lease-talks/105342154,Australia
Senior doctor blows whistle and NSW Health launches review into claims about major hospital,"Tue, 27 May 2025 06:26:03 +0000",Just In,A surgeon is speaking out after hospital management re-categorised the urgency of some cancer surgeries from highest to lowest without consulting him.,https://www.abc.net.au/news/2025-05-27/cancer-surgeries-delayed-at-orange-hospital-waitlist-targets/105302518,Australia
Warning opposition plan to scrap stamp duty on first homes could push prices up,"Tue, 27 May 2025 06:25:46 +0000",Just In,The Victorian opposition has used its budget reply to showcase a pledge to scrap stamp duty for first home buyers on properties up to $1 million if it wins government next year.,https://www.abc.net.au/news/2025-05-27/victorian-opposition-budget-reply/105343416,Australia
