title,published,source,summary,link,country
Palestinians clash with Israeli soldiers after protest against Pence visit,2018-01-24,XINHUANEWS,"<img alt=""Palestinians clash with Israeli soldiers after protest against Pence visit"" height=""100"" src=""http://english.news.cn/titlepic/13691/136919909_1516756058941_title0h.jpg"" width=""100"" />Palestinian protesters hurl stones at Israeli soldiers during clashes after a protest against the visit of U.S. Vice President Mike Pence in Jerusalem, in the West Bank city of Hebron, on Jan. 23, 2018.",http://www.xinhuanet.com/english/world/2018-01/24/c_136919909.htm,China
"U.S. failure to appoint Australian ambassador ""diplomatic insult"": former deputy PM",2018-01-03,XINHUANEWS,"Former Australian Deputy Prime Minister Tim Fischer has accused the U.S. of hitting Australia with a ""diplomatic insult.""",http://www.xinhuanet.com/english/2018-01/03/c_136868968.htm,China
Speaker of Hungarian Parliament addresses in Budapest,2017-10-28,XINHUANEWS,"<img alt=""Speaker of Hungarian Parliament addresses in Budapest"" height=""100"" src=""http://english.news.cn/titlepic/13671/136711043_1509146684624_title0h.jpg"" width=""100"" />Laszlo Kover (1st L), Speaker of the Hungarian Parliament, speaks at a conference of the parliament speakers of the Western Balkans in Budapest, Hungary on Oct. 27, 2017.",http://www.xinhuanet.com/english/2017-10/28/c_136711043.htm,China
"Typhoon Lan lashes central Japan, killing 2 and disrupting transport systems",2017-10-23,XINHUANEWS,Two people were killed and transportation systems and businesses severely disrupted as Typhoon Lan lashed central Japan's Pacific coast after making landfall early Monday.,http://www.xinhuanet.com/english/2017-10/23/c_136699146.htm,China
Spotlight: U.S. decision to withdraw from UNESCO triggers calls for multilateralism,2017-10-13,XINHUANEWS,"The U.S. decision to withdraw from UNESCO, the UN cultural agency, has triggered worldwide calls for supporting multilateralism amid world challenges.",http://www.xinhuanet.com/english/2017-10/13/c_136677613.htm,China
U.S. nuke-powered submarine makes port call in S. Korea,2017-10-13,XINHUANEWS,"A U.S. nuclear-powered submarine on Friday made a port call at a city in southeast South Korea, Yonhap news agency reported Friday.",http://www.xinhuanet.com/english/2017-10/13/c_136677591.htm,China
S.Korean court extends detention of ex-president Park over corruption charges,2017-10-13,XINHUANEWS,A South Korean court on Friday decided to extend the detention of impeached President Park Geun-hye who has been in custody and stood trial over corruption charges including bribery.,http://www.xinhuanet.com/english/2017-10/13/c_136677533.htm,China
Spotlight: What's behind abrupt U.S. withdrawal from UNESCO?,2017-10-13,XINHUANEWS,"The world has long been used to U.S. President Donald Trump taking a stance against multilateralism. Still, the sudden U.S. announcement Thursday to retreat from UNESCO -- the United Nations Educational, Scientific and Cultural Organization -- raised eyebrows worldwide.",http://www.xinhuanet.com/english/2017-10/13/c_136677360.htm,China
UN roots for enhanced data collection to fix food security crises in Africa,2017-09-18,XINHUANEWS,"The United Nations Food and Agriculture Organization (FAO) will avail financial resources and technical expertise to help African countries collect data on agriculture that is key to addressing food security crises in the continent, an official said on Monday.",http://www.xinhuanet.com/english/2017-09/18/c_136618940.htm,China
Egypt-U.S. joint drill Bright Star simulates real battles,2017-09-18,XINHUANEWS,"Conditions similar to real battles were created in the Egyptian-U.S. joint drill ""Bright Star 2017,"" which are being conducted at Egypt's Mohamed Naguib Military Base and will last until Sept. 20, local media reported on Monday.",http://www.xinhuanet.com/english/2017-09/18/c_136618525.htm,China
Cambodia arrests Laotian man with 5 kg of illicit drugs,2017-07-22,XINHUANEWS,"Cambodian police arrested a Laotian man on Saturday for allegedly smuggling nearly 5 kilos of crystal methamphetamine from Laos into Cambodia, an anti-drug police officer said.",http://www.xinhuanet.com/english/2017-07/22/c_136464696.htm,China
MPs say Brexit referendum led to public mistrust in government,2017-04-12,XINHUANEWS,"Actions by the British government during the European Union referendum led to public mistrust, a committee of MPs said Wednesday in a parliamentary report.",http://www.xinhuanet.com/english/2017-04/12/c_136203242.htm,China
"<a href=""http://news.xinhuanet.com/english/2017-03/31/c_136171921.htm"" target=""_blank"">S. Korea's ex-president Park arrested following impeachment over corruption scandal</a>",2017-03-31,XINHUANEWS,"<img alt=""S. Korea's ex-president Park arrested following impeachment over corruption scandal"" height=""100"" src=""http://english.news.cn/titlepic/112072/1120729675_1490922420928_title0h.jpg"" width=""100"" />Former President Park Geun-hye of South Korea was arrested early Friday as a Seoul court approved the request from prosecutors following her impeachment earlier this month over a corruption scandal embroiling her.",http://news.xinhuanet.com/english/2017-03/31/c_136171921.htm,China
"<a href=""http://news.xinhuanet.com/english/photo/2017-03/30/c_136171338.htm"" target=""_blank"">Manila Int'l Auto Show kicks off</a>",2017-03-30,XINHUANEWS,"<img alt=""Manila Int'l Auto Show kicks off"" height=""100"" src=""http://english.news.cn/titlepic/112072/1120727883_1490881041390_title0h.jpg"" width=""100"" />Visitors attend the Manila International Auto Show at the World Trade Center in Pasay City, the Philippines.",http://news.xinhuanet.com/english/photo/2017-03/30/c_136171338.htm,China
"<a href=""http://news.xinhuanet.com/english/2017-03/30/c_136171630.htm"" target=""_blank"">Malaysia says to release body of Kim Jong Nam to DPRK</a>",2017-03-30,XINHUANEWS,"Malaysia will release the body of Kim Jong Nam to the Democratic People's Republic of Korea (DPRK) and allow its nationals to leave, after the nine stranded Malaysian citizens in DPRK were freed, Malaysian Prime Minister Najib Razak said in a statement on Thursday.",http://news.xinhuanet.com/english/2017-03/30/c_136171630.htm,China
"<a href=""http://news.xinhuanet.com/english/2017-03/30/c_136171360.htm"" target=""_blank"">S.Korean court ends longest-ever hearing on warrant to arrest ex-president Park</a>",2017-03-30,XINHUANEWS,"A South Korean court on Thursday ended the longest-ever hearing here on a warrant to arrest former President Park Geun-hye, who was impeached earlier this month.",http://news.xinhuanet.com/english/2017-03/30/c_136171360.htm,China
"<a href=""http://news.xinhuanet.com/english/2017-03/30/c_136171240.htm"" target=""_blank"">Federal judge in Hawaii extends order blocking Trump's travel ban</a>",2017-03-30,XINHUANEWS,A U.S. federal judge in Hawaii on Wednesday extended his previous nationwide order blocking the implementation of President Donald Trump's revised travel ban while the lawsuit continues.,http://news.xinhuanet.com/english/2017-03/30/c_136171240.htm,China
"<a href=""http://news.xinhuanet.com/english/2017-03/30/c_136171059.htm"" target=""_blank"">DPRK slams U.S. for orchestrating efforts to tighten financial sanctions against 
Pyongyang</a>",2017-03-30,XINHUANEWS,The Democratic People's Republic of Korea (DPRK) has slammed the United States for orchestrating efforts to tighten financial sanctions against Pyongyang.,http://news.xinhuanet.com/english/2017-03/30/c_136171059.htm,China
"<a href=""http://news.xinhuanet.com/english/2017-03/30/c_136171628.htm"" target=""_blank"">Kiev says ready for new truce with rebels in eastern Ukraine</a>",2017-03-30,XINHUANEWS,The Ukrainian Defense Ministry said on Thursday it stands ready for a new truce with independence-seeking insurgents in eastern regions starting from next month.,http://news.xinhuanet.com/english/2017-03/30/c_136171628.htm,China
"<a href=""http://news.xinhuanet.com/english/2017-03/30/c_136168987.htm"" target=""_blank"">Mixed reaction on London streets to British triggering Article 50</a>",2017-03-30,XINHUANEWS,"<img alt=""Mixed reaction on London streets to British triggering Article 50"" height=""100"" src=""http://english.news.cn/titlepic/112072/1120721223_1490832514945_title0h.jpg"" width=""100"" />The formal triggering of Article 50 by Britain to quit the European Union (EU) on Wednesday drew mixed reactions on London streets.",http://news.xinhuanet.com/english/2017-03/30/c_136168987.htm,China
