title,published,source,summary,link,country
‘We are all in denial’: Le Scouarnec trial draws little media attention despite outcry,"Tue, 27 May 2025 12:47:14 GMT","France 24 - International breaking news, top stories and headlines","A feminist group in France working to combat sexual violence spoke to FRANCE 24 about the case of former French surgeon Joël Le Scouarnec, who is accused of sexually abusing hundreds of his patients, many of them children. The case is due to conclude this week. However, it has received far less publicity in France and worldwide than the recent Gisèle Pelicot trial, prompting questions about why this is the case.",https://www.france24.com/en/tv-shows/perspective/20250527-we-are-all-in-denial-le-scouarnec-trial-draws-little-media-attention-despite-outcry,France
End of 'bromance'? Papers react to spat between Trump and Putin,"Tue, 27 May 2025 10:04:32 GMT","France 24 - International breaking news, top stories and headlines","PRESS REVIEW – Tuesday, May 27: First, the tit-for-tat between Donald Trump and Vladimir Putin after Russia's assault on Kyiv continues to make headlines. Also, Israeli papers are divided on how to cover the most recent Jerusalem marches. And, Namibia will be celebrating their first ever Remembrance Day to commemorate the genocide of the Herero and Nama people. Next, Eritrea's national football team will be playing its first game since January 2020. Finally, Brigitte Macron's shove makes waves in the papers.",https://www.france24.com/en/tv-shows/press-review/20250527-end-of-bromance-papers-react-to-spat-between-trump-and-putin,France
Ukraine: Germany says allies scrap range limits on arms to Kyiv,"Tue, 27 May 2025 10:03:40 GMT","France 24 - International breaking news, top stories and headlines","Germany's Chancellor Friedrich Merz said on Tuesday that the war in Ukraine is expected to persist due to Russia's reluctance to enter negotiations. For more, FRANCE 24's correspondent, Emmanuelle Chaze.",https://www.france24.com/en/video/20250527-germany-says-allies-scrap-range-limits-on-arms-to-kyiv,France
King Charles to deliver key speech amid Trump annexation threats on Canada,"Tue, 27 May 2025 09:58:44 GMT","France 24 - International breaking news, top stories and headlines","King Charles III is to outline new Prime Minister Mark Carney's government priorities in a speech in the Canadian Parliament. The move widely seen as a show of support for Canada in the face of annexation threats by U.S. President Donald Trump. The kind is the head of state in Canada, which is a member of the British Commonwealth of former colonies. Carney saying the visit speaks to the “vitality of our constitutional monarchy and our distinct identity.” Caroline Baum reports.",https://www.france24.com/en/video/20250527-king-charles-to-deliver-key-speech-amid-trump-annexation-threats-on-canada,France
EU launches investigation into four porn platforms over risks to children,"Tue, 27 May 2025 09:57:13 GMT","France 24 - International breaking news, top stories and headlines",The European Union on Tuesday began an investigation into four online porn platforms accused of not doing enough to prevent children from accessing sexually explicit content.,https://www.france24.com/en/live-news/20250527-eu-investigates-four-porn-platforms-over-risks-to-children,France
France's National Assembly to vote on bill legalising assisted dying,"Tue, 27 May 2025 09:52:28 GMT","France 24 - International breaking news, top stories and headlines",France's lower house of parliament is set to vote Tuesday on a bill that would allow adults suffering from incurable illnesses to voluntarily end their life by taking a lethal substance prescribed by medical practitioners. A 2023 report indicated that a majority of French citizens support legalising end-of-life options.,https://www.france24.com/en/france/20250527-france-s-national-assembly-to-vote-on-bill-legalising-assisted-dying,France
French parliament to vote on assisted dying: Patients share their stories,"Tue, 27 May 2025 09:39:45 GMT","France 24 - International breaking news, top stories and headlines","French deputies are set to vote Tuesday on a controversial bill regarding end-of-life options before it moves to the Senate. The proposed “right to aid in dying” has divided politicians and healthcare professionals and reignited heated bioethical debates. In this report from France 2, palliative care workers and patients share their views on the matter.",https://www.france24.com/en/video/20250527-french-parliament-to-vote-on-assisted-suicide-patients-share-their-stories,France
Eye on Africa: In South Africa lesser flamingo loose breeding site,"Tue, 27 May 2025 09:38:23 GMT","France 24 - International breaking news, top stories and headlines",South Africa's Kampfers dam used to be one of only 4 breeding sites for lesser flamingos on the continent. But a recent series of sewage spills have poisoned its waters and the pink birds have now become a rare sighting there.,https://www.france24.com/en/video/20250527-south-africa-lesser-flamingo-loose-breeding-site,France
"Eye on Africa: In Kenya, bictcoin drives green energy production","Tue, 27 May 2025 09:36:35 GMT","France 24 - International breaking news, top stories and headlines","Kenya has been producing more electricity than it's needs and now, a new industry is stepping in to make use of the surplus. That's cryptocurrency mining.Using mobile bitcoin farms, companies are converting otherwise wasted energy into digital currency. Supporters call it a win-win, but questions remain about whether this new use of energy will benefit the country as a whole. Clément Di Roma and Olivia Bizot report.",https://www.france24.com/en/video/20250527-kenya-bictcoin-drives-green-energy-production,France
Two years since Ugandan Anti-Homosexuality Act became law,"Tue, 27 May 2025 09:34:49 GMT","France 24 - International breaking news, top stories and headlines","It's been two years since Uganda passed one of the world's harshest anti gay laws and Human rights watch is now reporting that since it came into force authorities in the country have comitted widespread discrimination and violence against lesbian, gay, bisexual, and transgender people. For more, the senior Africa researcher at Human Rights Watch, Oryem Nyeko.",https://www.france24.com/en/video/20250527-two-years-since-ugandan-anti-homosexuality-ac-became-law,France
