title,published,source,summary,link,country
"Asean Summit: Brunei Sultan hospitalised for fatigue, says PM Anwar","Tue, 27 May 2025 19:02:00 +08:00",The Star : Latest 10 Articles Feed,"KUALA LUMPUR: Brunei Sultan Hassanal Bolkiah is ""resting"" at the National Heart Institute (IJN) due to fatigue, says Datuk Seri Anwar Ibrahim. <a href=""https://www.thestar.com.my/news/nation/2025/05/27/asean-summit-brunei-sultan-hospitalised-for-fatigue-says-pm-anwar"">Read full story</a>",https://www.thestar.com.my/news/nation/2025/05/27/asean-summit-brunei-sultan-hospitalised-for-fatigue-says-pm-anwar,Malaysia
Malaysian Muslims to celebrate Hari Raya Aidiladha on June 7,"Tue, 27 May 2025 20:28:00 +08:00",The Star : Latest 10 Articles Feed,"KUALA LUMPUR: Muslims in Malaysia will celebrate Hari Raya Aidiladha on June 7, according to Datuk Mohd Aseral Jusman, Assistant Secretary of the Conference of Rulers. <a href=""https://www.thestar.com.my/news/nation/2025/05/27/malaysian-muslims-to-celebrate-hari-raya-aidiladha-on-june-7"">Read full story</a>",https://www.thestar.com.my/news/nation/2025/05/27/malaysian-muslims-to-celebrate-hari-raya-aidiladha-on-june-7,Malaysia
Ukrainian climber released from detention days after record-breaking Everest ascent,"Tue, 27 May 2025 20:17:00 +08:00",The Star : Latest 10 Articles Feed,"KATHMANDU (Reuters) -Ukrainian climber Andrew Ushakov, who completed a journey from sea level to the summit of Mount Everest in a record four days, has been released on bail following his arrest for carrying undeclared foreign currency, a Nepali official told Reuters on Tuesday. <a href=""https://www.thestar.com.my/news/world/2025/05/27/ukrainian-climber-released-from-detention-days-after-record-breaking-everest-ascent"">Read full story</a>",https://www.thestar.com.my/news/world/2025/05/27/ukrainian-climber-released-from-detention-days-after-record-breaking-everest-ascent,Malaysia
Three men to face charges for illegal money-lending activities,"Tue, 27 May 2025 20:23:00 +08:00",The Star : Latest 10 Articles Feed,"JOHOR BARU: Three local men will face multiple charges in the Johor Baru Magistrate's Court on Wednesday (May 28) for activities linked to an illegal money-lending syndicate. <a href=""https://www.thestar.com.my/news/nation/2025/05/27/three-men-to-face-charges-for-illegal-money-lending-activities"">Read full story</a>",https://www.thestar.com.my/news/nation/2025/05/27/three-men-to-face-charges-for-illegal-money-lending-activities,Malaysia
Plan accordingly to see the Red Devils in action at Bukit Jalil,"Tue, 27 May 2025 19:12:00 +08:00",The Star : Latest 10 Articles Feed,"KUALA LUMPUR: Plan your route in advance if you are heading to the Manchester United football match in Bukit Jalil on Wednesday (May 28). <a href=""https://www.thestar.com.my/news/nation/2025/05/27/plan-accordingly-to-see-the-red-devils-in-action-at-bukit-jalil"">Read full story</a>",https://www.thestar.com.my/news/nation/2025/05/27/plan-accordingly-to-see-the-red-devils-in-action-at-bukit-jalil,Malaysia
QuickCheck: Did a motorcyclist try to snatch a 71-year-old woman&#039;s gold necklace in Jelutong?,"Tue, 27 May 2025 14:25:00 +08:00",The Star : Latest 10 Articles Feed,"SNATCH theft is a heinous crime and videos of such incidents often go viral on social media. <a href=""https://www.thestar.com.my/news/true-or-not/2025/05/27/quickcheck-did-a-motorcyclist-try-to-snatch-a-71-year-old-woman039s-gold-necklace-in-jelutong"">Read full story</a>",https://www.thestar.com.my/news/true-or-not/2025/05/27/quickcheck-did-a-motorcyclist-try-to-snatch-a-71-year-old-woman039s-gold-necklace-in-jelutong,Malaysia
Teacher under investigation for alleged affair with married man,"Tue, 27 May 2025 18:20:00 +08:00",The Star : Latest 10 Articles Feed,"NIBONG TEBAL: A teacher who went viral for allegedly having an affair with a married man has been relieved of her official duties until the investigation is completed, says Education Minister Fadhlina Sidek. <a href=""https://www.thestar.com.my/news/nation/2025/05/27/teacher-under-investigation-for-alleged-affair-with-married-man"">Read full story</a>",https://www.thestar.com.my/news/nation/2025/05/27/teacher-under-investigation-for-alleged-affair-with-married-man,Malaysia
South Korean actor Choi Jung-woo dies at 68,"Tue, 27 May 2025 18:06:00 +08:00",The Star : Latest 10 Articles Feed,"In a brief statement sent to the press, the label confirmed Choi passed away on Tuesday, May 27, but did not disclose the cause of death.  <a href=""https://www.thestar.com.my/lifestyle/entertainment/2025/05/27/south-korean-actor-choi-jung-woo-dies-at-68"">Read full story</a>",https://www.thestar.com.my/lifestyle/entertainment/2025/05/27/south-korean-actor-choi-jung-woo-dies-at-68,Malaysia
"Pornhub, Stripchat, XNXX and XVideos targeted in EU investigation","Tue, 27 May 2025 18:07:00 +08:00",The Star : Latest 10 Articles Feed,"BRUSSELS (Reuters) -Adult content platforms Pornhub, Stripchat, XNXX and XVideos will be investigated for suspected breaches of EU online content law, EU regulators said on Tuesday, in a move that could lead to fines of as much as 6% of their global annual turnover. <a href=""https://www.thestar.com.my/tech/tech-news/2025/05/27/pornhub-stripchat-xnxx-xvideos-targeted-in-eu-investigation"">Read full story</a>",https://www.thestar.com.my/tech/tech-news/2025/05/27/pornhub-stripchat-xnxx-xvideos-targeted-in-eu-investigation,Malaysia
Sabah implementing policy to boost local accounting sector,"Tue, 27 May 2025 20:53:00 +08:00",The Star : Latest 10 Articles Feed,"KOTA KINABALU: The Sabah government has introduced a new policy to boost local economic participation in the procurement of audit and financial services by State Statutory Bodies and government-linked companies. <a href=""https://www.thestar.com.my/news/nation/2025/05/27/sabah-implementing-policy-to-boost-local-accounting-sector"">Read full story</a>",https://www.thestar.com.my/news/nation/2025/05/27/sabah-implementing-policy-to-boost-local-accounting-sector,Malaysia
Bursa Malaysia issues UMA query to Sinaran Advance,"Tue, 27 May 2025 20:45:00 +08:00",The Star : Latest 10 Articles Feed,"KUALA LUMPUR: Bursa Malaysia Securities Bhd has issued an unusual market activity (UMA) query to Sinaran Advance Group Bhd following a sharp decline in its share price and a sudden spike in trading volume. <a href=""https://www.thestar.com.my/business/business-news/2025/05/27/bursa-malaysia-issues-uma-query-to-sinaran-advance"">Read full story</a>",https://www.thestar.com.my/business/business-news/2025/05/27/bursa-malaysia-issues-uma-query-to-sinaran-advance,Malaysia
UTeM signs international collaboration pact with Indian institution,"Tue, 27 May 2025 20:35:00 +08:00",The Star : Latest 10 Articles Feed,"MELAKA: Universiti Teknikal Malaysia Melaka (UTeM) has signed a memorandum of understanding (MoU) with a private institution from India to begin international collaboration. <a href=""https://www.thestar.com.my/news/nation/2025/05/27/utem-signs-international-collaboration-pact-with-indian-institution"">Read full story</a>",https://www.thestar.com.my/news/nation/2025/05/27/utem-signs-international-collaboration-pact-with-indian-institution,Malaysia
Girl allegedly abused by parents to be in Penang state care,"Tue, 27 May 2025 20:04:00 +08:00",The Star : Latest 10 Articles Feed,"GEORGE TOWN: The 12-year-old girl who was allegedly abused by her parents will be placed in a government-run care centre once she is discharged from hospital, according to the Penang Social Welfare Department. <a href=""https://www.thestar.com.my/news/nation/2025/05/27/girl-allegedly-abused-by-parents-to-be-in-penang-state-care"">Read full story</a>",https://www.thestar.com.my/news/nation/2025/05/27/girl-allegedly-abused-by-parents-to-be-in-penang-state-care,Malaysia
"Timor-Leste to join Asean as full member by October, says PM","Tue, 27 May 2025 20:09:00 +08:00",The Star : Latest 10 Articles Feed,"KUALA LUMPUR: Timor-Leste will become a full member of Asean by the 47th Asean Summit and Related Summits in October, says Prime Minister Datuk Seri Anwar Ibrahim. <a href=""https://www.thestar.com.my/news/nation/2025/05/27/timor-leste-to-join-asean-as-full-member-by-october-says-pm"">Read full story</a>",https://www.thestar.com.my/news/nation/2025/05/27/timor-leste-to-join-asean-as-full-member-by-october-says-pm,Malaysia
K-drama actress Go Min-si denies school bullying allegations,"Tue, 27 May 2025 20:00:00 +08:00",The Star : Latest 10 Articles Feed,"School bullying is a highly sensitive issue in South Korea, particularly when it involves public figures. <a href=""https://www.thestar.com.my/lifestyle/entertainment/2025/05/27/k-drama-actress-go-min-si-denies-school-bullying-allegations"">Read full story</a>",https://www.thestar.com.my/lifestyle/entertainment/2025/05/27/k-drama-actress-go-min-si-denies-school-bullying-allegations,Malaysia
"Kidnappers of goldsmith linked to major crimes in Kelantan, say cops","Tue, 27 May 2025 19:24:00 +08:00",The Star : Latest 10 Articles Feed,"KOTA BHARU: Police believe that four suspects involved in the recent kidnapping and extortion case against a goldsmith shop owner in Palekbang, Tumpat, are members of a criminal group active in the state. <a href=""https://www.thestar.com.my/news/nation/2025/05/27/kidnappers-of-goldsmith-linked-to-major-crimes-in-kelantan-say-cops"">Read full story</a>",https://www.thestar.com.my/news/nation/2025/05/27/kidnappers-of-goldsmith-linked-to-major-crimes-in-kelantan-say-cops,Malaysia
"JKR preparing cost estimate for Sarawak Cancer Centre, says Deputy Premier","Tue, 27 May 2025 19:09:00 +08:00",The Star : Latest 10 Articles Feed,"KUCHING: The Public Works Department (JKR) is preparing the cost estimation for the Sarawak Cancer Centre project, says Datuk Seri Dr Sim Kui Hian. <a href=""https://www.thestar.com.my/news/nation/2025/05/27/jkr-preparing-cost-estimate-for-sarawak-cancer-centre-says-deputy-premier"">Read full story</a>",https://www.thestar.com.my/news/nation/2025/05/27/jkr-preparing-cost-estimate-for-sarawak-cancer-centre-says-deputy-premier,Malaysia
"IMT-GT advancing with over RM165bil in projects, says Anwar","Tue, 27 May 2025 18:57:00 +08:00",The Star : Latest 10 Articles Feed,"KUALA LUMPUR: The Indonesia-Malaysia-Thailand Growth Triangle (IMT-GT) is advancing with US$39bil (RM165.32bil) in infrastructure and connectivity projects, says Datuk Seri Anwar Ibrahim. <a href=""https://www.thestar.com.my/news/nation/2025/05/27/imt-gt-advancing-with-over-rm165bil-in-projects-says-anwar"">Read full story</a>",https://www.thestar.com.my/news/nation/2025/05/27/imt-gt-advancing-with-over-rm165bil-in-projects-says-anwar,Malaysia
Ringgit eases against greenback on profit-taking after recent gains,"Tue, 27 May 2025 19:01:00 +08:00",The Star : Latest 10 Articles Feed,"KUALA LUMPUR: The ringgit ended lower against the US dollar on Tuesday as cautious traders took profit after recent gains amid continued uncertainty in the global economic outlook. <a href=""https://www.thestar.com.my/business/business-news/2025/05/27/ringgit-eases-against-greenback-on-profit-taking-after-recent-gains"">Read full story</a>",https://www.thestar.com.my/business/business-news/2025/05/27/ringgit-eases-against-greenback-on-profit-taking-after-recent-gains,Malaysia
