title,published,source,summary,link,country
"A reality check for the Maya Train: Without cargo service, it will keep losing money","Tue, 27 May 2025 00:47:36 +0000",Mexico News Daily,"<p>It was billed and promoted as a tourism-oriented passenger train, but it can't break even without income from freight service, its director admits.</p>
<p>The post <a href=""https://mexiconewsdaily.com/travel/maya-train-reality-check-freight-cargo-service/"">A reality check for the Maya Train: Without cargo service, it will keep losing money</a> appeared first on <a href=""https://mexiconewsdaily.com"">Mexico News Daily</a></p>",https://mexiconewsdaily.com/travel/maya-train-reality-check-freight-cargo-service/,Mexico
Less than a week to go till Mexico’s first-ever judicial elections: Monday’s mañanera recapped,"Mon, 26 May 2025 23:10:30 +0000",Mexico News Daily,"<p>Sheinbaum encouraged Mexicans to vote in Sunday's judicial elections, addressed election insecurity in Veracruz and gave an update on the fight against screwworm in cattle.</p>
<p>The post <a href=""https://mexiconewsdaily.com/politics/judicial-elections-2025-mondays-mananera-recapped/"">Less than a week to go till Mexico&#8217;s first-ever judicial elections: Monday&#8217;s mañanera recapped</a> appeared first on <a href=""https://mexiconewsdaily.com"">Mexico News Daily</a></p>",https://mexiconewsdaily.com/politics/judicial-elections-2025-mondays-mananera-recapped/,Mexico
Ex-security chief ordered to pay US $2.4 billion to the Mexican government,"Mon, 26 May 2025 22:36:09 +0000",Mexico News Daily,"<p>Genaro García Luna, already convicted of taking bribes from the Sinaloa Cartel, was ordered to pay the massive sum after losing a civil suit filed by Mexico.</p>
<p>The post <a href=""https://mexiconewsdaily.com/news/ex-security-chief-ordered-to-pay/"">Ex-security chief ordered to pay US $2.4 billion to the Mexican government</a> appeared first on <a href=""https://mexiconewsdaily.com"">Mexico News Daily</a></p>",https://mexiconewsdaily.com/news/ex-security-chief-ordered-to-pay/,Mexico
National Guard troops caught running a fuel heist in Guanajuato state,"Mon, 26 May 2025 21:51:29 +0000",Mexico News Daily,"<p>Eleven were arrested after police found some National Guard members standing guard while others siphoned fuel from a Pemex pipeline into a tanker truck.</p>
<p>The post <a href=""https://mexiconewsdaily.com/news/national-guard-troops-caught-fuel-theft/"">National Guard troops caught running a fuel heist in Guanajuato state</a> appeared first on <a href=""https://mexiconewsdaily.com"">Mexico News Daily</a></p>",https://mexiconewsdaily.com/news/national-guard-troops-caught-fuel-theft/,Mexico
12 injured after hot air balloon crashes near Teotihuacán,"Mon, 26 May 2025 21:28:51 +0000",Mexico News Daily,"<p>Balloon rides remain a popular way to experience México state's spectacular pyramids, despite the risk involved.</p>
<p>The post <a href=""https://mexiconewsdaily.com/news/hot-air-balloon-accident-teotihuacan-mexico/"">12 injured after hot air balloon crashes near Teotihuacán</a> appeared first on <a href=""https://mexiconewsdaily.com"">Mexico News Daily</a></p>",https://mexiconewsdaily.com/news/hot-air-balloon-accident-teotihuacan-mexico/,Mexico
There’s a new street name in New York:  Los Tigres del Norte Way,"Mon, 26 May 2025 20:51:44 +0000",Mexico News Daily,"<p>The Mexican regional music band has long been the voice of Mexicans in the United States as well as in Mexico. Now they're part of the New York cityscape.</p>
<p>The post <a href=""https://mexiconewsdaily.com/culture/los-tigres-del-norte-way/"">There&#8217;s a new street name in New York:  Los Tigres del Norte Way</a> appeared first on <a href=""https://mexiconewsdaily.com"">Mexico News Daily</a></p>",https://mexiconewsdaily.com/culture/los-tigres-del-norte-way/,Mexico
"Nearshoring lives on: Despite economic uncertainty, the flow of fresh capital into Mexico is on the rise","Mon, 26 May 2025 20:50:01 +0000",Mexico News Daily,"<p>New foreign investment has shown surprisingly strong growth compared to last year, though it remains a small portion of total FDI.</p>
<p>The post <a href=""https://mexiconewsdaily.com/business/new-foreign-investment-mexico-fdi/"">Nearshoring lives on: Despite economic uncertainty, the flow of fresh capital into Mexico is on the rise</a> appeared first on <a href=""https://mexiconewsdaily.com"">Mexico News Daily</a></p>",https://mexiconewsdaily.com/business/new-foreign-investment-mexico-fdi/,Mexico
Mexico City International Airport kicks off major renovation ahead of World Cup,"Mon, 26 May 2025 19:57:36 +0000",Mexico News Daily,"<p>Authorities cautioned travelers to expect delays while the remodel is underway.</p>
<p>The post <a href=""https://mexiconewsdaily.com/travel/mexico-city-international-airport-renovation-world-cup/"">Mexico City International Airport kicks off major renovation ahead of World Cup</a> appeared first on <a href=""https://mexiconewsdaily.com"">Mexico News Daily</a></p>",https://mexiconewsdaily.com/travel/mexico-city-international-airport-renovation-world-cup/,Mexico
Mexico in my heart: What Guanajuato gives me that California can’t,"Mon, 26 May 2025 19:31:49 +0000",Mexico News Daily,"<p>Years of living between Guanajuato and California has taught Louisa Rogers that home is a feeling she misses when she crosses the Mexico-U.S. border.</p>
<p>The post <a href=""https://mexiconewsdaily.com/lifestyle/mexico-in-my-heart-what-guanajuato-gives-me-that-california-cant/"">Mexico in my heart: What Guanajuato gives me that California can&#8217;t</a> appeared first on <a href=""https://mexiconewsdaily.com"">Mexico News Daily</a></p>",https://mexiconewsdaily.com/lifestyle/mexico-in-my-heart-what-guanajuato-gives-me-that-california-cant/,Mexico
What’s on in CDMX in June?,"Mon, 26 May 2025 09:47:57 +0000",Mexico News Daily,"<p>Delve into the mind of a cinematic auteur, rock with British indie legends or dine in the dark as the capital brings all the excitement you've come to expect. </p>
<p>The post <a href=""https://mexiconewsdaily.com/lifestyle/whats-on-in-cdmx-in-june/"">What’s on in CDMX in June?</a> appeared first on <a href=""https://mexiconewsdaily.com"">Mexico News Daily</a></p>",https://mexiconewsdaily.com/lifestyle/whats-on-in-cdmx-in-june/,Mexico
