title,published,source,summary,link,country
Bangkok Bank stops allowing foreign tourists to open accounts since start of year,"Tue, 27 May 2025 15:56:37 +0300",TASS,"""An account with the Bangkok Bank can be opened by foreigners present in the country under retirement or non-immigration visas,"" the spokesperson stressed",https://tass.com/economy/1964177,Russia
Lavrov says Trump interested in Russia-Ukraine talks going on,"Tue, 27 May 2025 15:51:34 +0300",TASS,"According to the Russian foreign minister, president Trump has already stated that this is not his war",https://tass.com/politics/1964175,Russia
Russia-China ties too strong to fall victim to external political pressure — Shoigu,"Tue, 27 May 2025 15:43:46 +0300",TASS,"The Russian Security Council secretary highlighted ""close bilateral political contacts, above all, at the highest level""",https://tass.com/politics/1964171,Russia
Turkey’s top diplomat praises meeting with Lavrov in Moscow as positive,"Tue, 27 May 2025 15:25:35 +0300",TASS,"According to Hakan Fidan, relations between Turkey and Russia play an important role in ensuring regional stability",https://tass.com/world/1964167,Russia
Around 60% of wine sold in Russia is domestically produced — Agriculture Ministry,"Tue, 27 May 2025 15:18:56 +0300",TASS,Deputy Director of the Department of Food and Processing Industry Irina Fedina highlighted the growing presence of Russian wines in retail and food service establishments,https://tass.com/economy/1964165,Russia
Armenia nearly doubles potato exports to Russia in 2025,"Tue, 27 May 2025 15:15:54 +0300",TASS,"Acoording to the ministry, between January 1 and May 21 of this year, Armenia exported 4,200 tonnes of potatoes to Russia",https://tass.com/economy/1964163,Russia
Energy consumption in Russia declines by 0.9% in 2025,"Tue, 27 May 2025 15:13:12 +0300",TASS,Representatives of the System Operator have told journalists that energy consumption in Russia could rise by 3% in 2025,https://tass.com/economy/1964159,Russia
Europe continues to indirectly participate in war against Russia — Kremlin,"Tue, 27 May 2025 15:12:48 +0300",TASS,"""We are all witnessing ongoing discussions about the possibility of the appearance of 'European contingents,'"" Dmitry Peskov noted",https://tass.com/politics/1964161,Russia
Russia hails lifting of anti-Syrian sanctions by the US — Lavrov,"Tue, 27 May 2025 15:10:30 +0300",TASS,The top Russian diplomat noted that sanctions against Syria was a step Russia condemned and demanded its termination,https://tass.com/politics/1964151,Russia
Top Syrian diplomat has standing invitation to visit Russia — Lavrov,"Tue, 27 May 2025 15:07:40 +0300",TASS,"According to the top Russian diplomat, Moscow is maintaining a dialogue with the new Syrian authorities",https://tass.com/politics/1964153,Russia
European UGS facilities 46% filled with gas,"Tue, 27 May 2025 15:07:39 +0300",TASS,"The gas purchase price in Europe averaged about $409 per 1,000 cubic meters in April, and around $409 in May",https://tass.com/economy/1964155,Russia
Lavrov decries his French counterpart for saying Paris not in a war against Russia,"Tue, 27 May 2025 15:06:38 +0300",TASS,"In this regard, the Russian top diplomat advised his French counterpart to revive the old motto of all freedom-loving politicians in France - freedom, equality, fraternity",https://tass.com/politics/1964149,Russia
Russia provides measured response to new EU sanctions — MFA,"Tue, 27 May 2025 15:06:34 +0300",TASS,"Russian Foreign Ministry Spokeswoman Maria Zakharova noted that after 2022 the EU authorities ""moved from the stage of anti-Russian sanctions to the stage of a real trade war, which is part of a hybrid war""",https://tass.com/politics/1964147,Russia
