title,published,source,summary,link,country
"Asean faces ‘moment of truth’; it must step up or risk losing relevance, says PM Wong","Tue, 27 May 2025 21:00:00 +0800",The Straits Times Singapore News,"<p>The grouping has to define a clear, purposeful role for itself in a changed world, he said.</p>",https://www.straitstimes.com/singapore/politics/asean-faces-moment-of-truth-it-must-step-up-or-risk-losing-relevance-says-pm-wong,Singapore
Strong mandate from GE2025 boosts Singapore’s standing at Asean: PM Wong,"Tue, 27 May 2025 21:00:00 +0800",The Straits Times Singapore News,<p>PM Wong said that many leaders congratulated him on his election victory.</p>,https://www.straitstimes.com/singapore/politics/strong-mandate-from-ge2025-boosts-singapores-standing-at-asean,Singapore
Judge okays bulk of $32.1m claim by Ascendas against defunct Park Hotel Clarke Quay operator,"Tue, 27 May 2025 20:00:00 +0800",The Straits Times Singapore News,<p>Hotel renamed Riverside Hotel Robertson Quay when CapitaLand unit AIMPL took over from 2021 - 2022.</p>,https://www.straitstimes.com/singapore/housing/judge-okays-bulk-of-32-1m-claim-by-ascendas-against-defunct-park-hotel-clarke-quay-operator,Singapore
More jail time for ICA officer who received cash and sex as bribes from overstayers,"Tue, 27 May 2025 19:40:00 +0800",The Straits Times Singapore News,<p>His sentence for corruption was increased to four years’ jail upon appeal.</p>,https://www.straitstimes.com/singapore/courts-crime/more-jail-time-for-ica-officer-who-received-cash-and-sex-as-bribes-from-overstayers,Singapore
Muslims in Singapore to celebrate Hari Raya Haji on June 7: Mufti,"Tue, 27 May 2025 19:30:00 +0800",The Straits Times Singapore News,"<p>It is celebrated on the 10th day of the 12th month of the Islamic calendar, which will begin on May 29.</p>",https://www.straitstimes.com/singapore/muslims-in-singapore-to-celebrate-hari-raya-haji-on-june-7-mufti,Singapore
Speed limiters for heavy vehicles offer chance for ‘mindset change’,"Tue, 27 May 2025 19:05:00 +0800",The Straits Times Singapore News,<p>Vehicle owners have been given two to three years to install the device.</p>,https://www.straitstimes.com/singapore/speed-limiters-for-heavy-vehicles-offer-chance-for-mindset-change,Singapore
ComfortDelGro will bid to run Melbourne trains from 2027 as part of consortium,"Tue, 27 May 2025 18:30:00 +0800",The Straits Times Singapore News,<p>The firm currently manages over 360 buses in Melbourne and operates Australia’s largest taxi network.</p>,https://www.straitstimes.com/singapore/transport/comfortdelgro-will-bid-to-run-melbourne-trains-from-2027-as-part-of-consortium,Singapore
Man taken to hospital after he nearly drowned at Bishan Swimming Complex,"Tue, 27 May 2025 18:00:54 +0800",The Straits Times Singapore News,<p>He was taken to Tan Tock Seng Hospital in a conscious state.</p>,https://www.straitstimes.com/singapore/man-taken-to-hospital-after-he-nearly-drowns-at-bishan-swimming-complex,Singapore
Election expenses open for inspection from May 28,"Tue, 27 May 2025 17:35:26 +0800",The Straits Times Singapore News,<p>Candidates must submit their election expenses to ensure accountability and transparency of campaign finances.</p>,https://www.straitstimes.com/singapore/politics/election-expenses-open-for-inspection-from-may-28,Singapore
"SQ321 incident: Parts of aircraft’s weather radar system sent to US for tests, findings pending","Tue, 27 May 2025 17:23:18 +0800",The Straits Times Singapore News,"<p>In an interim update, S'pore investigators also revealed that 79 people were injured in the incident.</p>",https://www.straitstimes.com/singapore/transport/sq321-incident-parts-of-aircrafts-weather-radar-system-sent-to-us-for-tests-findings-pending,Singapore
2 charged over getting foreign workers to hold placards in protest at worksite,"Tue, 27 May 2025 15:45:00 +0800",The Straits Times Singapore News,<p>The pair will return to court on June 24 for a further mention of their case. </p>,https://www.straitstimes.com/singapore/courts-crime/2-charged-over-getting-foreign-workers-to-hold-placards-in-protest-at-worksite,Singapore
Man dies after accident in Braddell Road near Raffles Institution; 2 others taken to hospital,"Tue, 27 May 2025 15:43:32 +0800",The Straits Times Singapore News,<p>Two lorries were badly damaged.</p>,https://www.straitstimes.com/singapore/accident-on-lornie-viaduct-near-raffles-institution-causes-traffic-jam,Singapore
"People’s Park Complex being repainted red and white, but not specifically for SG60","Tue, 27 May 2025 15:35:00 +0800",The Straits Times Singapore News,"<p>The mixed-use development, which was completed in 1973, was last repainted in 2009.</p>",https://www.straitstimes.com/singapore/peoples-park-complex-being-repainted-red-and-white-but-not-specifically-for-sg60,Singapore
"Special offers, attractions at the zoo as Mandai Wildlife Group celebrates SG60","Tue, 27 May 2025 14:35:00 +0800",The Straits Times Singapore News,"<p>Bundled ticket offers priced at $60 are available for adult, youth and senior local residents.</p>",https://www.straitstimes.com/singapore/special-offers-attractions-at-the-zoo-as-mandai-wildlife-group-celebrates-sg60,Singapore
SAF ‘constantly re-examining operations’ to deal with new threats: Chan Chun Sing,"Tue, 27 May 2025 14:00:51 +0800",The Straits Times Singapore News,<p>He is happy to see how the SAF has progressed over the years and has confidence that “we will be in good stead”.</p>,https://www.straitstimes.com/singapore/saf-constantly-re-examining-operations-to-deal-with-new-threats-chan-chun-sing,Singapore
Motorcyclist taken to hospital after collision with cyclist at Sengkang junction,"Tue, 27 May 2025 14:00:00 +0800",The Straits Times Singapore News,"<p>Footage of the crash shows the cyclist riding across the road, against a red light.</p>",https://www.straitstimes.com/singapore/motorcyclist-taken-to-hospital-after-collision-with-cyclist-at-sengkang-junction,Singapore
"42 cases of animal smuggling at Singapore borders in 2024, highest in recent years","Tue, 27 May 2025 13:55:00 +0800",The Straits Times Singapore News,"<p>Due to its location, Singapore has been known to be a transit country for the illegal wildlife trade.</p>",https://www.straitstimes.com/singapore/environment/42-cases-of-animal-smuggling-at-spore-borders-in-2024-highest-in-recent-years,Singapore
S’pore monitoring impact of Trump administration’s ban on Harvard enrolling foreign students,"Tue, 27 May 2025 12:44:52 +0800",The Straits Times Singapore News,"<p>MFA has set up support structures, such as a group communication channel, for affected students.</p>",https://www.straitstimes.com/singapore/spore-monitoring-impact-of-trump-adminstrations-ban-on-harvard-enrolling-foreign-students,Singapore
"Life expectancy of Singapore’s population rises in 2024, marking improvement over Covid-19 years","Tue, 27 May 2025 12:10:30 +0800",The Straits Times Singapore News,"<p>Life expectancy rose by 0.9 years in the past decade, from 82.6 years in 2014 to 83.5 years in 2024.</p>",https://www.straitstimes.com/singapore/life-expectancy-of-singapores-population-rises-in-2024-marking-improvement-over-covid-19-years,Singapore
Charge withdrawn for man accused of helping trio allegedly linked to organised criminal group,"Tue, 27 May 2025 12:05:00 +0800",The Straits Times Singapore News,<p>Mr Goh Shi Yong was granted a discharge amounting to an acquittal following a pre-trial conference on May 21.</p>,https://www.straitstimes.com/singapore/courts-crime/charge-withdrawn-for-man-accused-of-helping-trio-allegedly-linked-to-organised-criminal-group,Singapore
Couple bring world board games competition to Singapore after face-off in Las Vegas,"Tue, 27 May 2025 11:51:24 +0800",The Straits Times Singapore News,<p>The World Series of Board Gaming Singapore satellite tournament will be held from May 31 to June 2.</p>,https://www.straitstimes.com/singapore/couple-bring-world-board-games-competition-to-singapore-after-face-off-in-las-vegas,Singapore
Prosecution looks to strike out fugitive Indonesian’s evidence containing allegations against CPIB,"Tue, 27 May 2025 11:29:46 +0800",The Straits Times Singapore News,<p>District Judge Brenda Tan said she will hear the application at the hearing on May 28.</p>,https://www.straitstimes.com/singapore/courts-crime/prosecution-looks-to-strike-out-fugitive-indonesians-evidence-containing-allegations-against-cpib,Singapore
SDA donates $16k to ST School Pocket Money Fund after sale of poll posters,"Tue, 27 May 2025 05:00:00 +0800",The Straits Times Singapore News,"<p>SDA donated a total of $16,000 to the Straits Times School Pocket Money Fund.</p>",https://www.straitstimes.com/singapore/sda-donates-16k-to-st-school-pocket-money-fund-after-sale-of-poll-posters,Singapore
ST Picks: How she overcame challenges to become a model student,"Tue, 27 May 2025 05:00:00 +0800",The Straits Times Singapore News,,https://www.straitstimes.com/singapore/st-picks-how-she-overcame-challenges-to-become-a-model-student,Singapore
ST Picks: Living with a rare brain disorder that affects mostly girls,"Tue, 27 May 2025 05:00:00 +0800",The Straits Times Singapore News,,https://www.straitstimes.com/singapore/st-picks-living-with-a-rare-brain-disorder-that-affects-mostly-girls,Singapore
Asean must strengthen its integration to give itself ‘manoeuvring space’: PM Wong,"Mon, 26 May 2025 22:35:53 +0800",The Straits Times Singapore News,"<p>Speaking at the Asean Summit, PM Wong said there is still much more that needs to be done.</p>",https://www.straitstimes.com/singapore/politics/asean-must-strengthen-its-integration-to-give-itself-manoeuvring-space-pm-wong,Singapore
"PM Wong meets leaders from Kuwait, Malaysia, Indonesia and China","Mon, 26 May 2025 22:15:00 +0800",The Straits Times Singapore News,<p>Singapore and Kuwait are marking 40 years of diplomatic ties this year.</p>,https://www.straitstimes.com/singapore/politics/pm-wong-meets-leaders-from-kuwait-malaysia-and-indonesia-on-sidelines-of-asean-summit,Singapore
Woman admits to providing legal services when she could not practise law due to bankruptcy,"Mon, 26 May 2025 22:10:00 +0800",The Straits Times Singapore News,<p>Helen Chia Chwee Imm has since been struck off the rolls.</p>,https://www.straitstimes.com/singapore/courts-crime/woman-admits-to-providing-legal-services-when-she-could-not-practise-law-due-to-bankruptcy,Singapore
Prison programme helps elderly inmates with mobility issues reintegrate into society,"Mon, 26 May 2025 22:00:00 +0800",The Straits Times Singapore News,<p>Elderly inmates usually lack social support and are unable to find accommodation upon their release.</p>,https://www.straitstimes.com/singapore/prison-programme-helps-elderly-inmates-with-mobility-issues-reintegrate-into-society,Singapore
"2 to be charged over organising, abetting illegal public assemblies involving foreign workers","Mon, 26 May 2025 21:55:00 +0800",The Straits Times Singapore News,<p>A woman allegedly told her workers to hold placards while standing outside two construction sites.</p>,https://www.straitstimes.com/singapore/courts-crime/2-to-be-charged-for-allegedly-organising-abetting-illegal-public-assemblies-involving-foreign,Singapore
"NSmen among 88 honorary aides-de-camp reappointed, with 24 new ones added to corps","Mon, 26 May 2025 21:50:00 +0800",The Straits Times Singapore News,"<p>They support four full-time aides-de-camp in planning, managing and executing functions and events attended by the president.</p>",https://www.straitstimes.com/singapore/for-this-nsman-serving-president-tharmans-office-has-been-an-opportunity-to-witness-history,Singapore
"President Tharman, SM Lee send condolence letters to Vietnam after death of former president","Mon, 26 May 2025 21:15:00 +0800",The Straits Times Singapore News,<p>Vietnam's former president Tran Duc Luong died on May 20 at the age of 88 after an illness.</p>,https://www.straitstimes.com/singapore/president-tharman-sm-lee-send-condolence-letters-to-vietnam-after-passing-of-former-president,Singapore
Singapore’s biggest motor association in legal tussle with its president,"Mon, 26 May 2025 19:55:00 +0800",The Straits Times Singapore News,<p>High Court judge Vinodh Coomaraswamy said the dispute is essentially a political one.</p>,https://www.straitstimes.com/singapore/transport/singapores-biggest-motor-association-in-legal-tussle-with-its-president,Singapore
"Safe clubbing campaign returns as molestation, fights in nightspots continue to be concerns","Mon, 26 May 2025 19:20:00 +0800",The Straits Times Singapore News,<p>Molestation cases in and near nightspots accounted for 7 per cent of all of such cases islandwide in 2024.</p>,https://www.straitstimes.com/singapore/safe-clubbing-campaign-returns-as-molestation-fights-in-nightspots-continue-to-be-a-concern,Singapore
Red Dot United to pay $900 removal fee for election posters found within 50m of polling stations,"Mon, 26 May 2025 18:50:00 +0800",The Straits Times Singapore News,<p>ELD said it is prepared to consider waiving the fee if the posters turned out to have been tampered with.</p>,https://www.straitstimes.com/singapore/red-dot-united-to-pay-900-removal-fee-for-election-posters-found-within-50m-of-polling-stations,Singapore
"Selected train, bus services to be extended on eve of Hari Raya Haji","Mon, 26 May 2025 18:30:00 +0800",The Straits Times Singapore News,<p>The operating hours for 35 SMRT and SBS bus services will be extended. </p>,https://www.straitstimes.com/singapore/smrt-to-extend-selected-train-bus-services-on-hari-raya-haji-eve,Singapore
"NDP 2025: Applications for tickets to open on May 28, to be done using Singpass","Mon, 26 May 2025 18:00:00 +0800",The Straits Times Singapore News,"<p>The public can ballot for tickets to the main show on Aug 9, or preview shows on July 26 or Aug 2.</p>",https://www.straitstimes.com/singapore/ndp2025-applications-for-tickets-to-open-on-may-28-to-be-done-using-singpass,Singapore
"Less than half of private university grads find full-time jobs, despite slight increase in salaries","Mon, 26 May 2025 17:20:00 +0800",The Straits Times Singapore News,"<p>The median monthly salaries of those in full-time work in 2024 increased to $3,500.</p>",https://www.straitstimes.com/singapore/less-than-half-of-private-uni-grads-find-full-time-jobs-despite-slight-increase-in-salaries,Singapore
"Too many bots, too few instructors: Why the long wait for driving lessons in Singapore","Mon, 26 May 2025 17:00:00 +0800",The Straits Times Singapore News,<p>Driving schools are now allowed to hire foreign driving instructors to ease the shortage.</p>,https://www.straitstimes.com/singapore/too-many-bots-too-few-instructors-why-theres-a-long-wait-for-driving-lessons,Singapore
9 years’ jail for ex-cop on the run for nearly 17 years after obtaining $47.7k in bribes,"Mon, 26 May 2025 16:29:00 +0800",The Straits Times Singapore News,<p>Koh Kian Tiong was a police assistant superintendent when he obtained the bribes.</p>,https://www.straitstimes.com/singapore/courts-crime/9-years-jail-for-ex-cop-on-the-run-for-nearly-17-years-after-obtaining-47-7k-in-bribes,Singapore
Jail for trio who duped landlord into believing bungalow would be used as private residence,"Mon, 26 May 2025 15:20:00 +0800",The Straits Times Singapore News,"<p>The men's cases were linked to a house in Victoria Park Road, near Coronation Road.</p>",https://www.straitstimes.com/singapore/courts-crime/jail-for-trio-who-duped-landlord-into-believing-bungalow-would-be-used-as-private-residence,Singapore
"Home Team humanoid robots to be deployed by mid-2027, $100m to be invested: Josephine Teo","Mon, 26 May 2025 15:00:00 +0800",The Straits Times Singapore News,"<p>By 2029, the AI-powered robots will move, think and act autonomously, with humans intervening only when necessary.</p>",https://www.straitstimes.com/singapore/home-team-humanoid-robots-to-be-rolled-out-by-mid-2027-100m-to-be-invested-josephine-teo,Singapore
"More than $650,000 lost in Singapore to fake friend scams since April","Mon, 26 May 2025 13:55:00 +0800",The Straits Times Singapore News,"<p>At least 187 cases of this nature have been reported since April, the police said.</p>",https://www.straitstimes.com/singapore/more-than-650000-lost-to-fake-friend-scams-since-april,Singapore
NDP 2025: Live show to mark SG60 will extend from Padang to Marina Bay for first time,"Mon, 26 May 2025 12:30:00 +0800",The Straits Times Singapore News,"<p>Kit Chan, Charlie Lim and The Island Voices will perform this year's theme song, titled Here We Are.</p>",https://www.straitstimes.com/singapore/ndp-2025-live-show-to-mark-sg60-will-extend-from-padang-to-marina-bay-for-first-time,Singapore
Singapore Oceanarium to open in Sentosa on July 23,"Mon, 26 May 2025 12:29:00 +0800",The Straits Times Singapore News,<p>The attraction at Resorts World Sentosa will be three times larger than its predecessor S.E.A. Aquarium.</p>,https://www.straitstimes.com/singapore/singapore-oceanarium-to-open-in-sentosa-on-july-23,Singapore
Two motorcyclists taken to hospital after accident near Woodlands Checkpoint,"Mon, 26 May 2025 12:05:00 +0800",The Straits Times Singapore News,<p>The accident is the latest in a string of accidents in recent months at or around the checkpoint.</p>,https://www.straitstimes.com/singapore/two-motorcyclists-taken-to-hospital-after-accident-near-woodlands-checkpoint,Singapore
84-year-old pedestrian dies in Choa Chu Kang accident; minibus driver arrested,"Mon, 26 May 2025 11:10:00 +0800",The Straits Times Singapore News,"<p>The driver, a 53-year-old man, was arrested for careless driving causing death.</p>",https://www.straitstimes.com/singapore/84-year-old-pedestrian-dies-in-choa-chu-kang-accident-minibus-driver-arrested,Singapore
Realigned Lim Chu Kang Road to open from June 8; existing stretch will be closed,"Mon, 26 May 2025 10:59:51 +0800",The Straits Times Singapore News,<p>The road will be extended to facilitate the expansion of Tengah Air Base.</p>,https://www.straitstimes.com/singapore/transport/realigned-lim-chu-kang-road-to-open-from-june-8-existing-road-to-be-closed,Singapore
NYP nursing grad who lost father at a young age will now study medicine at NUS,"Mon, 26 May 2025 05:01:00 +0800",The Straits Times Singapore News,,https://www.straitstimes.com/singapore/nyp-nursing-grad-who-lost-father-at-a-young-age-will-now-study-medicine-at-nus,Singapore
ST Picks: Chelsea co-owner Todd Boehly on why competition is key for success,"Mon, 26 May 2025 05:00:00 +0800",The Straits Times Singapore News,,https://www.straitstimes.com/singapore/st-picks-chelsea-co-owner-todd-boehly-on-why-competition-is-key-for-success,Singapore
