title,published,source,summary,link,country
Future innovators shine at Huawei ICT competition as AI education takes center stage,"Tue, 27 May 2025 13:07:03 GMT",Korea Times News,"SHENZHEN, China — University students and their instructors from around the world celebrated their victories Saturday at the Huawei ICT Competition 2024-2025 Global Final in Shenzhen. The honorees and their teachers filled the stage, proudly waving their national flags as Chinese information and communications technology (ICT) giant Huawei captured photos of the talent showcased at the ninth edition of the global contest. Eighteen teams from nine countries — China, Algeria, Brazil, Philippines, Morocco, Nigeria, Serbia, Tanzania and Singapore — won grand prizes across six categories: Innovation, Programming and four practice tracks — Ascend AI, Computing, Cloud and Network. The event also presented awards for first, second and third place in each category. Special honors were given to four all-female teams from Brazil, Saudi Arabia, Germany and Kenya, which won the Women in Tech Award. Eighteen instructors from nine countries were also recognized with the Most Valuable Instructor Representative Award for their contribution to ICT education. “I want to thank my teacher for guidi",https://www.koreatimes.co.kr/business/companies/20250527/future-innovators-shine-at-huawei-ict-competition-as-ai-education-takes-center-stage?utm_source=rss,South Korea
'World of Street Woman Fighter' brings global dance crews to Mnet’s stage,"Tue, 27 May 2025 13:07:03 GMT",Korea Times News,"Mnet's hit survival reality show ""Street Woman Fighter"" (SWF) is back for its third season — and this time, it’s going global. Titled ""World of Street Woman Fighter"" (WSWF), the new season expands the show’s original format into a full-fledged international contest. Six dance crews from Korea, the United States, Japan, Australia and New Zealand are set to face off as national representatives, with communication transcending language as dancers rely on movement to connect, compete and captivate. At a press conference Tuesday in southern Seoul, the show's chief producer Choi Jeong-nam said the decision to turn the show into a global showdown came after seeing the impact of overseas participation in Season 2. ""When international crews joined in the second season of 'SWF,' we realized how much more we could introduce global dancers to our fans,"" Choi said. ""That's why we brought in crews from around the world for this season."" Choi said the shift did bring its share of challenges, especially in communication and cultural differences. ""We had translators for English and Japanese. There ar",https://www.koreatimes.co.kr/entertainment/shows-dramas/20250527/world-of-street-woman-fighter-brings-global-dance-crews-to-mnets-stage-in-season-3?utm_source=rss,South Korea
Celltrion strives to boost stock price,"Tue, 27 May 2025 13:07:03 GMT",Korea Times News,"Korean biotech firm Celltrion is striving to pump up its stock price through a series of stock buyback programs and other measures to improve shareholder value in an effort to dispel shareholder concerns over the company’s profitability and impacts from U.S. tariffs. Celltrion said Tuesday it has repurchased its own shares through six rounds of stock buyback programs so far this year, totaling 550 billion won ($402.75 million). The amount surpassed the 436 billion won of total buybacks it carried out last year. Celltrion Group Chairman Seo Jung-jin, the group's holding company Celltrion Holdings and its affiliate Celltrion Skincure recently announced plans to purchase Celltrion shares worth 50 billion won, 100 billion won and 50 billion won, respectively. Alongside Seo, other executives are also purchasing company shares to help boost the stock price. On Monday, Celltrion CEO Seo Jin-seok, the chairman’s eldest son, reported the purchase of 2,610 shares worth 400 million won. Kee Woo-sung and Kim Hyoung-ki, both vice chairmen, also reported buying 2,604 shares each. Since January, th",https://www.koreatimes.co.kr/business/companies/20250527/celltrion-strives-to-boost-stock-price?utm_source=rss,South Korea
Hana Financial rolls out housing pensions products for older adults,"Tue, 27 May 2025 13:07:03 GMT",Korea Times News,"Hana Financial Group has launched a new housing pension product that allows owners of multiple high-value properties to qualify for enrollment, the lender announced Tuesday. Otherwise known as a reverse mortgage, this financial product allows homeowners to borrow against their home’s equity and receive monthly lifetime payouts. It helps older adults supplement their reduced income after retirement, but it results in a smaller inheritance for their children. The product was developed jointly by Hana Bank and Hana Life. It is available to people aged 55 and older. It is a nonrecourse product, meaning the heirs do not inherit debt even if the subscribers die and their home sells for lower than the loan balance. The lender bears the difference between the original price and the market price. If the home sells for higher than the loan balance, the heirs are able to inherit the difference. Hana said the product will be available at a fixed rate of 3.95 percent for long-term security. The lender said the product will offer many older customers better postretirement planning. “Korea’s second b",https://www.koreatimes.co.kr/business/banking-finance/20250527/hana-financial-rolls-out-housing-pensions-products-for-seniors?utm_source=rss,South Korea
N. Korea's state security minister visits Russia; meeting with Shoigu expected,"Tue, 27 May 2025 13:07:03 GMT",Korea Times News,"North Korea's state security minister has left for Russia to attend an international meeting of officials in charge of security affairs, the North's state media reported Tuesday, amid deepening military cooperation between Pyongyang and Moscow. A delegation, led by Minister Ri Chang-dae, departed Pyongyang the previous day to attend the 13th meeting of high representatives handling security issues, according to the Korean Central News Agency (KCNA). Ri is expected to have talks with Russia's Security Council Secretary Sergei Shoigu in Moscow. Russia's Security Council said last week Shoigu will hold talks with officials from North Korea, Iran, India and other countries on May 28-29 on the sidelines of the meeting of high representatives responsible for security issues. The meeting between Ri and Shoigu comes as North Korea acknowledged for the first time in April that it has sent thousands of troops to Russia to support Moscow's war against Ukraine. Experts said they may use the upcoming talks to discuss North Korean troops' future moves and the issues related to the repatriation of the r",https://www.koreatimes.co.kr/foreignaffairs/northkorea/20250527/north-koreas-state-security-minister-visits-russia-meeting-with-shoigu-expected?utm_source=rss,South Korea
Hyundai Steel impresses European buyers at World Rally Championship in Portugal,"Tue, 27 May 2025 13:07:03 GMT",Korea Times News,"Korea’s leading steelmaker Hyundai Steel made a strong impression on its European clients at the World Rally Championship (WRC) in Portugal earlier this month, where vehicles built with its steel raced through challenging rally stages. Hyundai Steel invited its European clients to the WRC Service Park in Matosinhos, northern Portugal, to watch the rally together from May 16 to 18. The company spotlighted racing cars featuring its logo, emphasizing that they were built using Hyundai Steel products. As part of its Customers Day event, Hyundai Steel also hosted a conference where it showcased its globally recognized steel manufacturing capabilities to its European clients. The company provided insights into its production of automotive steel plates and shared updates on its ongoing electric arc furnace construction project in the United States. It also highlighted its dual production system that combines electric and blast furnaces, and emphasized the strong evaluations its low-carbon steel products have received. Hyundai Steel informed its clients that it has established a new operation",https://www.koreatimes.co.kr/business/companies/20250527/hyundai-steel-impresses-european-buyers-at-world-rally-championship-in-portugal?utm_source=rss,South Korea
"[VIDEO] Inside Korea’s baseball craze: A party of cheering, grilling and fun","Tue, 27 May 2025 13:07:03 GMT",Korea Times News,"When you think of baseball stadium food, what comes to mind? Hot dogs? Nachos? Maybe a plastic cup of beer and some peanuts? Forget all that. In Korea, a baseball game is as much about the food as it is about the sport — and maybe even more. To see what makes Korean stadium culture so special, Howdy Korea host Yasmin headed to Incheon’s SSG Landers Field with In-soo, a longtime fan of the Landers baseball team. What unfolded was a full-blown cultural festival, complete with sizzling grills, overflowing platters, team chants and the kind of culinary surprises that have to be seen — and tasted — to be believed. Welcome to the baseball BBQ zone The adventure begins with disbelief. “Wait … people are grilling meat here?” Yasmin exclaims, stunned by the sight of fans huddled around actual barbecues in the stands. This isn’t just a snack stand situation. Korean baseball stadiums have designated “BBQ Zones,” where fans can rent gas stoves, pans and tongs to grill their own dakgalbi (spicy chicken), samgyeopsal (pork belly) and more — all while cheering on their team. “It",https://www.koreatimes.co.kr/video/howdykorea/20250527/video-inside-koreas-baseball-craze-a-party-of-cheering-grilling-and-fun?utm_source=rss,South Korea
"'The Devil’s Plan'  producer, Season 2 champion respond to criticism","Tue, 27 May 2025 13:07:03 GMT",Korea Times News,"Netflix’s high-stakes survival game show ""The Devil’s Plan"" recently wrapped up its second season amid a flurry of controversy, prompting both the show’s producer and its final winner, Jeong Hyun-gyu of ""Exchange 2"" fame, to respond to the backlash. In ""The Devil’s Plan: Death Room,"" players from various professions live together for seven days to determine the ultimate mastermind. It drew attention with its stellar cast of 14 participants, including former professional Go player Lee Se-dol, best known for his historic five-game match against artificial intelligence AlphaGo in 2016, Hollywood actor Justin H. Min, K-pop idol Kyuhyun, TV presenter Kang Ji-young, actor Yoon So-hui and poker player 7high. However, the show drew criticism from viewers over Jeong's gameplay and questionable decisions. In the finale, Kyuhyun sacrificed himself to save Jeong, while the final opponent Yoon gave up betting in the final game, leaving viewers puzzled. Jeong, a Seoul National University student who appeared on the dating reality show “Exchange 2,” was blamed for making viewers uncomforta",https://www.koreatimes.co.kr/entertainment/shows-dramas/20250527/the-devils-plan-producer-season-2-champion-respond-to-criticism?utm_source=rss,South Korea
"Far-right Israelis confront Palestinians, other Israelis in chaotic Jerusalem march, witnesses say","Tue, 27 May 2025 13:07:03 GMT",Korea Times News,"JERUSALEM — A large rally in Jerusalem marking Israel's capture of the city's east in the 1967 war descended into chaos on Monday as far-right Israeli Jews confronted and assaulted Palestinians, fellow Israelis and journalists, witnesses said. The annual ""Flag March"" drew tens of thousands of people, chanting, dancing and waving Israeli flags after far-right National Security Minister Itamar Ben Gvir visited the Al-Aqsa mosque compound, a longtime flashpoint of Israeli-Palestinian tensions. Violence broke out in the walled Old City of East Jerusalem shortly after midday, a Reuters witness said, when young marchers began harassing the few Palestinian shopkeepers who had yet to shutter their stores ahead of the rally. The marchers, mostly young Israelis who live in settlements in the Israeli-occupied West Bank, then began to target Israeli left-wing activists and journalists observing the rally. The demonstrators shouted nationalistic slogans and called for violence against Palestinians, chanting: “Death to Arabs.” A Palestinian woman and journalists were spat on by a group of young s",https://www.koreatimes.co.kr/world/20250527/far-right-israelis-confront-palestinians-other-israelis-in-chaotic-jerusalem-march-witnesses-say?utm_source=rss,South Korea
"Actor Lim Sung-eon’s husband accused of $15 million fraud, third marriage","Tue, 27 May 2025 13:07:03 GMT",Korea Times News,"Actor Lim Sung-eon, 41, tied the knot on May 17, but controversy has emerged as her husband, a 55-year-old businessman identified as A, faces allegations of being involved in a large-scale apartment development fraud. Online media outlet Dispatch reported on Monday that her husband has three prior fraud convictions and is now suspected of running a large-scale apartment development scam, with estimated damages reaching 20 billion won ($15 million). The report claimed that he is currently under investigation for fraud, embezzlement and breach of trust, and has been banned from leaving the country. It also alleged that the couple’s honeymoon in Jeju Island was affected by this travel restriction, and that the marriage is his third. In response, Lim's husband denied allegations that he was involved in a fraud case, calling most of the claims in the recent media report untrue. “We filed a criminal complaint on May 19 against both the creditor and the journalist who wrote the article, and an investigation is underway,"" a legal representative for Lim’s husband said. The legal representati",https://www.koreatimes.co.kr/entertainment/shows-dramas/20250527/actor-lim-sung-eons-husband-accused-of-15-million-fraud-third-marriage?utm_source=rss,South Korea
