title,published,source,summary,link,country
What video footage tells us about how Liverpool crash unfolded,"Tue, 27 May 2025 12:24:32 GMT",BBC News,BBC Verify examines videos of the incident in which a car drove into a crowd during Liverpool FC's parade on Monday.,https://www.bbc.com/news/videos/c9dq6jj0l9do,UK
Why police released details about Liverpool crash suspect so quickly,"Tue, 27 May 2025 10:52:19 GMT",BBC News,"The decision shows lessons have been learned from the Southport attacks last summer, writes Daniel Sandford.",https://www.bbc.com/news/articles/cvgv4ddpyddo,UK
Ministers considering scrapping two-child benefit cap,"Tue, 27 May 2025 11:00:42 GMT",BBC News,The education secretary says the policy pushes people into poverty but warns scrapping it would be costly.,https://www.bbc.com/news/articles/c5ykp78r5r7o,UK
Controversial US-backed group says it has begun aid distribution in Gaza,"Tue, 27 May 2025 09:22:57 GMT",BBC News,"The Gaza Humanitarian Foundation says Palestinians have collected supplies, though the scale is unclear.",https://www.bbc.com/news/articles/cev41em3r9lo,UK
Leaked recording reveals police doubts over woman’s abortion arrest,"Tue, 27 May 2025 05:04:46 GMT",BBC News,"Police “not comfortable” operating in abortion criminalisation, says Met officer in case of Nicola Packer.",https://www.bbc.com/news/articles/cp852g0l6j6o,UK
Mary Earps announces shock England retirement before Euro 2025,"Tue, 27 May 2025 12:08:15 GMT",BBC News,England goalkeeper Mary Earps announces her retirement from international football with immediate effect - just five weeks before Euro 2025 begins.,https://www.bbc.com/sport/football/articles/cdj9ryd8mgro,UK
"We will scrap two-child benefit cap to make it easier to have children, says Farage","Tue, 27 May 2025 12:57:24 GMT",BBC News,Reform leader backs lifting the two-child benefit cap and introducing more generous tax breaks for married people.,https://www.bbc.com/news/articles/c5yx062pvlvo,UK
IMF raises UK growth forecast as it warns on tax and spending,"Tue, 27 May 2025 11:48:19 GMT",BBC News,"In its annual health-check for the UK economy, the IMF predicted growth of 1.2%, a marginal upgrade to its previous forecast.",https://www.bbc.com/news/articles/cx2jy0jk231o,UK
Man charged with attempted murder after police officer injured in Buckinghamshire,"Tue, 27 May 2025 10:24:00 GMT",BBC News,Simranjit Kajla is charged with attempted murder after the suspected hit-and-run.,https://www.bbc.com/news/articles/clynkzqw3nwo,UK
"KFC to create 7,000 jobs in UK and Irish growth push","Tue, 27 May 2025 12:32:55 GMT",BBC News,The fried chicken firm will invest nearly £1.5bn over five years as rivals step up expansion.,https://www.bbc.com/news/articles/cy75exp5p6mo,UK
What do we know so far?,"Tue, 27 May 2025 07:36:56 GMT",BBC News,A 53-year-old white British man has been arrested after dozens of people were hit by a car.,https://www.bbc.com/news/articles/ce8209lzzp4o,UK
Watch: Moment car drives into crowd in Liverpool,"Mon, 26 May 2025 21:53:05 GMT",BBC News,"A 53-year-old white British man has been arrested after a car drove into pedestrians in Water Street, police say.",https://www.bbc.com/news/videos/c4grq15y6yeo,UK
Witnesses describe moment car 'rammed' into people,"Tue, 27 May 2025 08:41:06 GMT",BBC News,"An off-duty BBC reporter who was attending the parade called it ""hell on Earth"".",https://www.bbc.com/news/articles/cy0jvepd1p2o,UK
'I was yards from Liverpool parade horror',"Tue, 27 May 2025 12:48:42 GMT",BBC News,"Harry Rashid, from Solihull, was at the victory parade with his wife and three daughters on Monday.",https://www.bbc.com/news/articles/c0571l5p782o,UK
Six highlights from American Music Awards - from J. Lo's kiss to Billie Eilish's wins,"Tue, 27 May 2025 11:19:46 GMT",BBC News,A round-up of action from the American Music Awards which also honoured Sir Rod Stewart in Vegas on Monday.,https://www.bbc.com/news/articles/c071mk5081do,UK
BBC given rare access to search for Hezbollah positions with UN troops in Lebanon,"Tue, 27 May 2025 05:50:11 GMT",BBC News,A Unifil spokesperson said the main violations of a ceasefire deal reached six months ago are from the Israeli side.,https://www.bbc.com/news/videos/cgj8vqng4vvo,UK
Battle begins over new homes approved in historic village without sewage capacity,"Tue, 27 May 2025 05:07:08 GMT",BBC News,"Charity launches legal challenge as it says problem of over-capacity sewage works near new homes is ""rife"".",https://www.bbc.com/news/articles/cn055462jy1o,UK
'My life was saved by a stranger on the other side of the world',"Tue, 27 May 2025 05:01:50 GMT",BBC News,An Australian man meets his stem-cell donor for the first time after travelling to the UK.,https://www.bbc.com/news/articles/cpqe52pj1d2o,UK
The underdogs who ended football trophy drought this season,"Tue, 27 May 2025 10:41:11 GMT",BBC News,BBC Sport has a look at some of the teams who ended long trophy droughts this season in cup competitions.,https://www.bbc.com/sport/football/articles/c9wgyk0yjgxo,UK
